probe,associate,associatecont,Meaning_R1,Meaning_BestGuess_R1,Meaning_R2,Meaning_BestGuess_R2,Comment_R1,Comment_R2,Agreement,CertainAgreement,CertainOrUncertainAgreement
bush,woods,,1,1,1,1,,,1,1,1
bush,flowers,,1,1,1,1,,,1,1,1
bush,hide,,1,1,1,1,,,1,1,1
bush,shrub,,1,1,1,1,,,1,1,1
bush,leaves,,1,1,1,1,,,1,1,1
bush,rose,,1,1,1,1,,,1,1,1
bush,garden,,1,1,1,1,,,1,1,1
bush,president,,-,,-,,Neither meaning. Referring to person's name.,US President Bush? not in the def.,0,,1
bush,george,,-,,-,,Neither meaning. Referring to person's name.,Person. not in def.,0,,1
butt,cute,,1,1,?1,1,,,0,,1
butt,ugly,,1,1,2,2,,,0,,0
butt,head,,1,1,2,2,,,0,,0
butt,big,,1,1,1,1,,,1,1,1
butt,rear,,1,1,1,1,,,1,1,1
butt,cigar,,1,1,1,1,,,1,1,1
butt,leg,,1,1,1,1,,,1,1,1
butt,cigarette,,1,1,1,1,,,1,1,1
butt,end,,1,1,1,1,,,1,1,1
butt,hole,,1,1,1,1,,,1,1,1
butt,bottom,,1,1,1,1,,,1,1,1
butt,rifle,,1,1,1,1,,,1,1,1
butt,body,,1,1,1,1,,,1,1,1
butt,bum,,1,1,1,1,,,1,1,1
cab,taxi,,1,1,1,1,,,1,1,1
cab,bus,,1,1,1,1,,,1,1,1
cab,ride,,1,1,1,1,,,1,1,1
cab,city,,1,1,1,1,,,1,1,1
cab,car,,1,1,1,1,,,1,1,1
cab,new,york,1,1,1,1,,,1,1,1
cab,yellow,,1,1,1,1,,,1,1,1
cab,driver,,1,1,1,1,,,1,1,1
cab,money,,1,1,1,1,,,1,1,1
calf,thigh,,2,2,2,2,,,1,1,1
calf,leg,,2,2,2,2,,,1,1,1
calf,cow,,1,1,1,1,,,1,1,1
calf,animal,,1,1,1,1,,,1,1,1
calf,veal,,1,1,1,1,,,1,1,1
calf,baby,,1,1,1,1,,,1,1,1
calf,liver,,1,1,1,1,,,1,1,1
camp,david,,1,1,-,,,Not sure about the association,0,,0
camp,summer,,1,1,1,1,,,1,1,1
camp,cabin,,1,1,1,1,,,1,1,1
camp,site,,1,1,1,1,,,1,1,1
camp,swim,,1,1,1,1,,,1,1,1
camp,tent,,1,1,1,1,,,1,1,1
camp,canoe,,1,1,1,1,,,1,1,1
camp,child,,1,1,1,1,,,1,1,1
camp,fun,,1,1,1,1,,,1,1,1
camp,scout,,1,1,1,1,,,1,1,1
camp,day,,1,1,1,1,,,1,1,1
camp,woods,,1,1,1,1,,,1,1,1
camp,country,,1,1,1,1,,,1,1,1
camp,night,,1,1,1,1,,,1,1,1
camp,lake,,1,1,1,1,,,1,1,1
camp,mosquito,,1,1,1,1,,,1,1,1
camp,ground,,1,1,1,1,,,1,1,1
camp,fire,,1,1,1,1,,,1,1,1
camp,kid,,1,1,1,1,,,1,1,1
cap,head,,1,1,1,1,,,1,1,1
cap,bottle,,1,1,1,1,,,1,1,1
cap,baseball,,1,1,1,1,,,1,1,1
cap,hat,,1,1,1,1,,,1,1,1
cap,gown,,1,1,1,1,,,1,1,1
cap,gun,,1,1,1,1,,,1,1,1
cape,god,,1,1,?1,1,,,0,,1
cape,canavral,,2,2,2,2,,,1,1,1
cape,cod,,2,2,2,2,,,1,1,1
cape,island,,2,2,2,2,,,1,1,1
cape,coral,,2,2,2,2,,,1,1,1
cape,water,,2,2,2,2,,,1,1,1
cape,robe,,1,1,1,1,,,1,1,1
cape,superman,,1,1,1,1,,,1,1,1
cape,black,,1,1,1,1,,,1,1,1
cape,magician,,1,1,1,1,,,1,1,1
cape,hero,,1,1,1,1,,,1,1,1
cape,dracula,,1,1,1,1,,,1,1,1
cape,shawl,,1,1,1,1,,,1,1,1
cape,vampire,,1,1,1,1,,,1,1,1
cape,batman,,1,1,1,1,,,1,1,1
cape,hood,,1,1,1,1,,,1,1,1
cape,fear,,1,1,1,1,,,1,1,1
cape,clothes,,1,1,1,1,,,1,1,1
cape,cloak,,1,1,1,1,,,1,1,1
cape,coat,,1,1,1,1,,,1,1,1
capital,letters,,1,1,1,1,,,1,1,1
capital,uppercase,,1,1,1,1,,,1,1,1
capital,offense,,1,1,1,1,,,1,1,1
capital,center,,1,1,1,1,,,1,1,1
capital,building,,1,1,1,1,,,1,1,1
capital,hill,,1,1,1,1,,,1,1,1
capital,state,,1,1,1,1,,,1,1,1
capital,tallahassee,,1,1,1,1,,,1,1,1
capital,lowercase,,1,1,1,1,,,1,1,1
capital,punishment,,1,1,1,1,,,1,1,1
capital,money,,1,1,1,1,,,1,1,1
capital,head,,1,1,1,1,,,1,1,1
capital,city,,1,1,1,1,,,1,1,1
capital,washington,dc,1,1,1,1,,,1,1,1
capital,gains,,1,1,1,1,,,1,1,1
card,shark,,1,1,?1,1,,,0,,1
card,catalog,,1,1,1,1,,,1,1,1
card,shuffle,,1,1,1,1,,,1,1,1
card,game,,1,1,1,1,,,1,1,1
card,board,,1,1,1,1,,,1,1,1
card,table,,1,1,1,1,,,1,1,1
card,king,,1,1,1,1,,,1,1,1
card,letter,,1,1,1,1,,,1,1,1
card,spade,,1,1,1,1,,,1,1,1
card,deck,,1,1,1,1,,,1,1,1
card,paper,,1,1,1,1,,,1,1,1
card,play,,1,1,1,1,,,1,1,1
card,holiday,,1,1,1,1,,,1,1,1
card,playing,,1,1,1,1,,,1,1,1
card,post,,1,1,1,1,,,1,1,1
card,trick,,1,1,1,1,,,1,1,1
card,ace,,1,1,1,1,,,1,1,1
card,jack,,1,1,1,1,,,1,1,1
card,christmas,,1,1,1,1,,,1,1,1
card,birthday,,1,1,1,1,,,1,1,1
card,poker,,1,1,1,1,,,1,1,1
cashier,publix,,1,1,-,,,not sure what publix is,0,,0
cashier,register,,1,1,1,1,,,1,1,1
cashier,person,,1,1,1,1,,,1,1,1
cashier,store,,1,1,1,1,,,1,1,1
cashier,money,,1,1,1,1,,,1,1,1
cashier,grocery,,1,1,1,1,,,1,1,1
cashier,work,,1,1,1,1,,,1,1,1
cashier,sales,,1,1,1,1,,,1,1,1
cashier,clerk,,1,1,1,1,,,1,1,1
cat,dog,,1,1,1,1,,,1,1,1
cat,kitten,,1,1,1,1,,,1,1,1
cat,mouse,,1,1,1,1,,,1,1,1
chase,manhattan,,-,,?1,1,None. Referring to name.,,0,,0
chase,follow,,1,1,1,1,,,1,1,1
chase,cat,,1,1,1,1,,,1,1,1
chase,catch,,1,1,1,1,,,1,1,1
chase,car,,1,1,1,1,,,1,1,1
chase,run,,1,1,1,1,,,1,1,1
chase,race,,1,1,1,1,,,1,1,1
chase,fun,,1,1,1,1,,,1,1,1
chase,police,,1,1,1,1,,,1,1,1
chase,capture,,1,1,1,1,,,1,1,1
chase,pursue,,1,1,1,1,,,1,1,1
chase,bank,,-,,1,1,None. Referring to name.,,0,,0
chase,mortgage,,-,,1,1,None. Referring to name.,,0,,0
chase,visa,,-,,1,1,None. Referring to name.,,0,,0
chess,smart,,1,1,1,1,,,1,1,1
chess,match,,1,1,1,1,,,1,1,1
chess,check,,1,1,1,1,,,1,1,1
chess,boring,,1,1,1,1,,,1,1,1
chess,pawn,,1,1,1,1,,,1,1,1
chess,bishop,,1,1,1,1,,,1,1,1
chess,set,,1,1,1,1,,,1,1,1
chess,checkers,,1,1,1,1,,,1,1,1
chess,board,,1,1,1,1,,,1,1,1
chess,think,,1,1,1,1,,,1,1,1
chess,player,,1,1,1,1,,,1,1,1
chess,knight,,1,1,1,1,,,1,1,1
chess,king,,1,1,1,1,,,1,1,1
chess,game,,1,1,1,1,,,1,1,1
chip,bark,,1,1,?1,1,,,0,,1
chip,shoulder,,1,1,-,,,association not very clear,0,,0
chip,food,,1,1,1,1,,,1,1,1
chip,tooth,,1,1,1,1,,,1,1,1
chip,potato,,1,1,1,1,,,1,1,1
chip,cookie,,1,1,1,1,,,1,1,1
chip,dip,,1,1,1,1,,,1,1,1
chip,wood,,1,1,1,1,,,1,1,1
chip,eat,,1,1,1,1,,,1,1,1
chip,block,,1,1,1,1,,,1,1,1
chip,break,,1,1,1,1,,,1,1,1
chip,micro,,1,1,1,1,,,1,1,1
chip,poker,,1,1,1,1,,,1,1,1
chip,chocolate,,1,1,1,1,,,1,1,1
chip,computer,,1,1,1,1,,,1,1,1
chop,suey,,1,1,-,,,not sure what suey/chop suey is,0,,0
chop,up,,1,1,1,1,,,1,1,1
chop,knife,,1,1,1,1,,,1,1,1
chop,wood,,1,1,1,1,,,1,1,1
chop,ax,,1,1,1,1,,,1,1,1
chop,lamb,,1,1,1,1,,,1,1,1
chop,grind,,1,1,1,1,,,1,1,1
chop,karate,,1,1,1,1,,,1,1,1
chop,dice,,1,1,1,1,,,1,1,1
chop,pork,,1,1,1,1,,,1,1,1
chop,cut,,1,1,1,1,,,1,1,1
chop,hew,,1,1,1,1,,,1,1,1
chop,slice,,1,1,1,1,,,1,1,1
chop,meat,,1,1,1,1,,,1,1,1
chop,mince,,1,1,1,1,,,1,1,1
chuck,wagon,,2,2,-,,,not sure of the association,0,,0
chuck,laugh,,3,3,3,3,,,1,1,1
chuck,steak,,2,2,2,2,,,1,1,1
chuck,drill,,2,2,2,2,,,1,1,1
chuck,beef,,2,2,2,2,,,1,1,1
chuck,meat,,2,2,2,2,,,1,1,1
chuck,hamburger,,2,2,2,2,,,1,1,1
chuck,roast,,2,2,2,2,,,1,1,1
chuck,sick,,1,1,1,1,,,1,1,1
chuck,away,,1,1,1,1,,,1,1,1
chuck,up,,1,1,1,1,,,1,1,1
chuck,throw,,1,1,1,1,,,1,1,1
chuck,toss,,1,1,1,1,,,1,1,1
chuck,wood,,1,1,1,1,,,1,1,1
chuck,woolery,,-,,-,,None. Referring to person/name.,not sure what woolery is,0,,1
chuck,name,,-,,-,,None. Referring to person/name.,none of the def. match,0,,1
chuck,charles,,-,,-,,None. Referring to person/name.,both are names?,0,,1
chuck,boy,,-,,1,1,None. Referring to person/name.,,0,,0
chuck,man,,-,,1,1,None. Referring to person/name.,,0,,0
chuck,ground,,2,2,?2,2,,,0,,1
clock,tick,,1,1,1,1,,,1,1,1
clock,radio,,1,1,1,1,,,1,1,1
clock,work,,1,1,1,1,,,1,1,1
clock,watch,,1,1,1,1,,,1,1,1
clock,hands,,1,1,1,1,,,1,1,1
clock,time,,1,1,1,1,,,1,1,1
clock,alarm,,1,1,1,1,,,1,1,1
cocktail,party,,1,1,1,1,,,1,1,1
cocktail,movie,,1,1,1,1,Reference to 1998 film about bartender - still fits with 1?,,1,1,1
cocktail,margarita,,1,1,1,1,,,1,1,1
cocktail,drink,,1,1,1,1,,,1,1,1
cocktail,beer,,1,1,1,1,,,1,1,1
cocktail,alcohol,,1,1,1,1,,,1,1,1
cocktail,bar,,1,1,1,1,,,1,1,1
cocktail,dress,,1,1,1,1,,,1,1,1
cocktail,shrimp,,1,1,1,1,,,1,1,1
cocktail,glass,,1,1,1,1,,,1,1,1
cocktail,umbrella,,1,1,1,1,,,1,1,1
cocktail,liquor,,1,1,1,1,,,1,1,1
cocktail,waitress,,1,1,1,1,,,1,1,1
coma,sleep,,1,1,1,1,,,1,1,1
coma,medicine,,1,1,1,1,,,1,1,1
coma,period,,1,1,1,1,,,1,1,1
coma,death,,1,1,1,1,,,1,1,1
coma,unconscious,,1,1,1,1,,,1,1,1
coma,dead,,1,1,1,1,,,1,1,1
coma,hospital,,1,1,1,1,,,1,1,1
coma,rest,,1,1,1,1,,,1,1,1
coma,sick,,1,1,1,1,,,1,1,1
coma,dying,,1,1,1,1,,,1,1,1
coma,punctuation,,-,,-,,Neither. Misunderstood probe word.,none of the def. match,0,,1
coma,english,,-,,-,,Neither. Misunderstood probe word.,none of the def. match,0,,1
coma,grammar,,-,,-,,Neither. Misunderstood probe word.,none of the def. match,0,,1
compact,large,,?1,1,1,1,,,0,,1
compact,car,,1,1,1,1,,,1,1,1
compact,powder,,1,1,1,1,,,1,1,1
compact,mirror,,1,1,1,1,,,1,1,1
compact,disc,,1,1,1,1,,,1,1,1
compact,tight,,1,1,1,1,,,1,1,1
compact,small,,1,1,1,1,,,1,1,1
compact,make,up,1,1,1,1,,,1,1,1
compound,bow,,?1,1,?1,1,,,1,,1
compound,prison,,2,2,2,2,,,1,1,1
compound,complex,,1,1,1,1,,,1,1,1
compound,sentence,,1,1,1,1,,,1,1,1
compound,many,,1,1,1,1,,,1,1,1
compound,single,,1,1,1,1,,,1,1,1
compound,words,,1,1,1,1,,,1,1,1
compound,elements,,1,1,1,1,,,1,1,1
compound,two,,1,1,1,1,,,1,1,1
compound,chemistry,,1,1,1,1,,,1,1,1
compound,car,,1,1,1,1,,,1,1,1
compound,mix,,1,1,1,1,,,1,1,1
compound,double,,1,1,1,1,,,1,1,1
compound,w,,1,1,1,1,,,1,1,1
compound,together,,1,1,1,1,,,1,1,1
compound,substance,,1,1,1,1,,,1,1,1
compound,mixture,,1,1,1,1,,,1,1,1
compound,chemical,,1,1,1,1,,,1,1,1
compound,rubbing,,1,1,1,1,,,1,1,1
compound,fracture,,1,1,1,1,,,1,1,1
compound,base,,1,1,1,1,,,1,1,1
compound,dog,,1,1,?2,2,,,0,,0
console,unit,,2,2,2,2,,,1,1,1
console,car,,2,2,2,2,,,1,1,1
console,television,,2,2,2,2,,,1,1,1
console,panel,,2,2,2,2,,,1,1,1
console,dashboard,,2,2,2,2,,,1,1,1
console,radio,,2,2,2,2,,,1,1,1
console,stereo,,2,2,2,2,,,1,1,1
console,computer,,2,2,2,2,,,1,1,1
console,cajole,,1,1,1,1,,,1,1,1
console,sympathy,,1,1,1,1,,,1,1,1
console,soothe,,1,1,1,1,,,1,1,1
console,counsel,,1,1,1,1,,,1,1,1
console,help,,1,1,1,1,,,1,1,1
console,death,,1,1,1,1,,,1,1,1
console,comfort,,1,1,1,1,,,1,1,1
console,friend,,1,1,1,1,,,1,1,1
console,talk,,1,1,1,1,,,1,1,1
content,body,,1,1,2,2,,,0,,0
content,satisfied,,2,2,2,2,,,1,1,1
content,peaceful,,2,2,2,2,,,1,1,1
content,stable,,2,2,2,2,,,1,1,1
content,pleased,,2,2,2,2,,,1,1,1
content,happy,,2,2,2,2,,,1,1,1
content,containing,,1,1,1,1,,,1,1,1
content,include,,1,1,1,1,,,1,1,1
content,text,,1,1,1,1,,,1,1,1
content,inside,,1,1,1,1,,,1,1,1
content,filler,,1,1,1,1,,,1,1,1
content,material,,1,1,1,1,,,1,1,1
content,ingredient,,1,1,1,1,,,1,1,1
content,book,,1,1,1,1,,,1,1,1
cop,pig,,2,2,?1,1,,,0,,0
cop,police,,2,2,2,2,,,1,1,1
cop,officer,,2,2,2,2,,,1,1,1
cop,law,,2,2,2,2,,,1,1,1
cop,blue,,2,2,2,2,,,1,1,1
cop,ticket,,2,2,2,2,,,1,1,1
cop,killer,,2,2,2,2,,,1,1,1
cop,patrol,,2,2,2,2,,,1,1,1
cop,criminal,,2,2,2,2,,,1,1,1
cop,gun,,2,2,2,2,,,1,1,1
cop,protection,,2,2,2,2,,,1,1,1
cop,authority,,2,2,2,2,,,1,1,1
cop,jail,,2,2,2,2,,,1,1,1
cop,car,,2,2,2,2,,,1,1,1
cop,bust,,2,2,2,2,,,1,1,1
cop,robber,,2,2,2,2,,,1,1,1
corn,foot,,2,2,2,2,,,1,1,1
corn,cob,,1,1,1,1,,,1,1,1
corn,butter,,1,1,1,1,,,1,1,1
corn,field,,1,1,1,1,,,1,1,1
corn,indian,,1,1,1,1,,,1,1,1
corn,yellow,,1,1,1,1,,,1,1,1
corn,maize,,1,1,1,1,,,1,1,1
corn,food,,1,1,1,1,,,1,1,1
corn,bread,,1,1,1,1,,,1,1,1
corn,vegetable,,1,1,1,1,,,1,1,1
corn,pops,,1,1,1,1,,,1,1,1
corn,flake,,1,1,1,1,,,1,1,1
corn,husk,,1,1,1,1,,,1,1,1
corn,eat,,1,1,1,1,,,1,1,1
corporal,punishment,,2,2,?1,1,,,0,,0
corporal,body,,2,2,1,1,,,0,,0
corporal,private,,2,2,1,1,,,0,,0
corporal,business,,1,1,2,2,,,0,,0
corporal,marines,,2,2,2,2,,,1,1,1
corporal,service,,2,2,2,2,,,1,1,1
corporal,military,,2,2,2,2,,,1,1,1
corporal,armed,forces,2,2,2,2,,,1,1,1
corporal,general,,2,2,2,2,,,1,1,1
corporal,officer,,2,2,2,2,,,1,1,1
corporal,major,,2,2,2,2,,,1,1,1
corporal,army,,2,2,2,2,,,1,1,1
corporal,captain,,2,2,2,2,,,1,1,1
corporal,sergeant,,2,2,2,2,,,1,1,1
corporal,admiral,,2,2,2,2,,,1,1,1
corporal,lieutenant,,2,2,2,2,,,1,1,1
corrupt,politics,,1,1,1,1,,,1,1,1
corrupt,men,,1,1,1,1,,,1,1,1
corrupt,lawyer,,1,1,1,1,,,1,1,1
corrupt,politician,,1,1,1,1,,,1,1,1
corrupt,ruin,,1,1,1,1,,,1,1,1
corrupt,jail,,1,1,1,1,,,1,1,1
corrupt,dishonest,,1,1,1,1,,,1,1,1
corrupt,crime,,1,1,1,1,,,1,1,1
corrupt,illegal,,1,1,1,1,,,1,1,1
corrupt,evil,,1,1,1,1,,,1,1,1
corrupt,criminal,,1,1,1,1,,,1,1,1
corrupt,government,,1,1,1,1,,,1,1,1
corrupt,bad,,1,1,1,1,,,1,1,1
corrupt,destroy,,1,1,1,1,,,1,1,1
cost,pay,,1,1,1,1,,,1,1,1
cost,lot,,1,1,1,1,,,1,1,1
cost,value,,1,1,1,1,,,1,1,1
cost,high,,1,1,1,1,,,1,1,1
cost,much,,1,1,1,1,,,1,1,1
cost,buy,,1,1,1,1,,,1,1,1
cost,amount,,1,1,1,1,,,1,1,1
cost,live,,1,1,1,1,,,1,1,1
cost,spend,,1,1,1,1,,,1,1,1
cost,price,,1,1,1,1,,,1,1,1
cost,money,,1,1,1,1,,,1,1,1
cost,cheap,,1,1,1,1,,,1,1,1
cost,expense,,1,1,1,1,,,1,1,1
costume,masquerade,,1,1,1,1,,,1,1,1
costume,shop,,1,1,1,1,,,1,1,1
costume,mask,,1,1,1,1,,,1,1,1
costume,clown,,1,1,1,1,,,1,1,1
costume,play,,1,1,1,1,,,1,1,1
costume,apparel,,1,1,1,1,,,1,1,1
costume,clothes,,1,1,1,1,,,1,1,1
costume,pretend,,1,1,1,1,,,1,1,1
costume,party,,1,1,1,1,,,1,1,1
costume,suit,,1,1,1,1,,,1,1,1
costume,halloween,,1,1,1,1,,,1,1,1
costume,make,up,1,1,1,1,,,1,1,1
costume,jewelry,,1,1,1,1,,,1,1,1
costume,ball,,1,1,1,1,,,1,1,1
costume,dress,,1,1,1,1,,,1,1,1
costume,charade,,1,1,1,1,,,1,1,1
costume,disguise,,1,1,1,1,,,1,1,1
costume,outfit,,1,1,1,1,,,1,1,1
cottage,woods,,1,1,1,1,,,1,1,1
cottage,hut,,1,1,1,1,,,1,1,1
cottage,small,,1,1,1,1,,,1,1,1
cottage,home,,1,1,1,1,,,1,1,1
cottage,cheese,,1,1,1,1,,,1,1,1
cottage,lake,,1,1,1,1,,,1,1,1
cottage,house,,1,1,1,1,,,1,1,1
cottage,thatched,,1,1,1,1,,,1,1,1
cottage,country,,1,1,1,1,,,1,1,1
cottage,chalet,,1,1,1,1,,,1,1,1
cottage,cabin,,1,1,1,1,,,1,1,1
cotton,soft,,1,1,1,1,,,1,1,1
cotton,comfortable,,1,1,1,1,,,1,1,1
cotton,swabs,,1,1,1,1,,,1,1,1
cotton,nylon,,1,1,1,1,,,1,1,1
cotton,wrinkled,,1,1,1,1,,,1,1,1
cotton,towel,,1,1,1,1,,,1,1,1
cotton,fluffy,,1,1,1,1,,,1,1,1
cotton,mouth,,1,1,1,1,,,1,1,1
cotton,shirt,,1,1,1,1,,,1,1,1
cotton,puffy,,1,1,1,1,,,1,1,1
cotton,q,tip,1,1,1,1,,,1,1,1
cotton,ball,,1,1,1,1,,,1,1,1
cotton,clothes,,1,1,1,1,,,1,1,1
cotton,material,,1,1,1,1,,,1,1,1
cotton,iron,,1,1,1,1,,,1,1,1
cotton,cool,,1,1,1,1,,,1,1,1
cotton,wool,,1,1,1,1,,,1,1,1
cotton,gin,,1,1,1,1,,,1,1,1
cotton,polyester,,1,1,1,1,,,1,1,1
couch,potato,,1,1,1,1,,,1,1,1
couch,television,,1,1,1,1,,,1,1,1
couch,bed,,1,1,1,1,,,1,1,1
couch,seat,,1,1,1,1,,,1,1,1
couch,chair,,1,1,1,1,,,1,1,1
couch,relax,,1,1,1,1,,,1,1,1
couch,lay,,1,1,1,1,,,1,1,1
couch,comfort,,1,1,1,1,,,1,1,1
couch,sleep,,1,1,1,1,,,1,1,1
couch,sit,,1,1,1,1,,,1,1,1
couch,sofa,,1,1,1,1,,,1,1,1
couch,cushion,,1,1,1,1,,,1,1,1
cough,medicine,,1,1,1,1,,,1,1,1
cough,sneeze,,1,1,1,1,,,1,1,1
cough,phlegm,,1,1,1,1,,,1,1,1
cough,cold,,1,1,1,1,,,1,1,1
cough,drop,,1,1,1,1,,,1,1,1
cough,laugh,,1,1,1,1,,,1,1,1
cough,sick,,1,1,1,1,,,1,1,1
cough,hack,,1,1,1,1,,,1,1,1
cough,throat,,1,1,1,1,,,1,1,1
cough,suppressant,,1,1,1,1,,,1,1,1
cough,choke,,1,1,1,1,,,1,1,1
counsel,group,,1,1,1,1,,,1,1,1
counsel,therapy,,1,1,1,1,,,1,1,1
counsel,advice,,1,1,1,1,,,1,1,1
counsel,talk,,1,1,1,1,,,1,1,1
counsel,board,,1,1,1,1,,,1,1,1
counsel,lawyer,,1,1,1,1,,,1,1,1
counsel,advisor,,1,1,1,1,,,1,1,1
counsel,counselor,,1,1,1,1,,,1,1,1
counsel,elders,,1,1,1,1,,,1,1,1
counsel,judge,,1,1,1,1,,,1,1,1
counsel,committee,,1,1,1,1,,,1,1,1
counsel,peer,,1,1,1,1,,,1,1,1
counsel,help,,1,1,1,1,,,1,1,1
counsel,political,,1,1,1,1,,,1,1,1
counsel,guidance,,1,1,1,1,,,1,1,1
counsel,city,,1,1,1,1,,,1,1,1
counsel,advise,,1,1,1,1,,,1,1,1
counsel,people,,1,1,1,1,,,1,1,1
counsel,government,,1,1,1,1,,,1,1,1
count,dracula,,2,2,2,2,,,1,1,1
count,number,,1,1,1,1,,,1,1,1
count,on,me,1,1,1,1,,,1,1,1
count,ten,,1,1,1,1,,,1,1,1
count,add,,1,1,1,1,,,1,1,1
count,down,,1,1,1,1,,,1,1,1
count,one,,1,1,1,1,,,1,1,1
count,money,,1,1,1,1,,,1,1,1
counter,counterpart,,3,3,3,3,,,1,1,1
counter,attack,,3,3,3,3,,,1,1,1
counter,clerk,,2,2,2,2,,,1,1,1
counter,number,,2,2,2,2,,,1,1,1
counter,clockwise,,2,2,2,2,,,1,1,1
counter,desk,,1,1,1,1,,,1,1,1
counter,formica,,1,1,1,1,,,1,1,1
counter,top,,1,1,1,1,,,1,1,1
counter,bar,,1,1,1,1,,,1,1,1
counter,space,,1,1,1,1,,,1,1,1
counter,flat,,1,1,1,1,,,1,1,1
counter,store,,1,1,1,1,,,1,1,1
counter,kitchen,,1,1,1,1,,,1,1,1
counter,help,,1,1,1,1,,,1,1,1
counter,sink,,1,1,1,1,,,1,1,1
counter,table,,1,1,1,1,,,1,1,1
counter,shelf,,1,1,1,1,,,1,1,1
cow,horse,,1,1,1,1,,,1,1,1
cow,pasture,,1,1,1,1,,,1,1,1
cow,milk,,1,1,1,1,,,1,1,1
cow,animal,,1,1,1,1,,,1,1,1
cow,fat,,1,1,1,1,,,1,1,1
cow,farm,,1,1,1,1,,,1,1,1
cow,pig,,1,1,1,1,,,1,1,1
cow,calf,,1,1,1,1,,,1,1,1
cow,bull,,1,1,1,1,,,1,1,1
cow,moo,,1,1,1,1,,,1,1,1
crab,tree,,1,1,-,,,none of the def. match? assocation unclear,0,,0
crab,apple,,1,1,-,,,none of the def. match,0,,0
crab,cancer,,1,1,1,1,,,1,1,1
crab,pinch,,1,1,1,1,,,1,1,1
crab,lobster,,1,1,1,1,,,1,1,1
crab,meat,,1,1,1,1,,,1,1,1
crab,legs,,1,1,1,1,,,1,1,1
crab,seafood,,1,1,1,1,,,1,1,1
crab,sea,,1,1,1,1,,,1,1,1
crab,ocean,,1,1,1,1,,,1,1,1
crab,shrimp,,1,1,1,1,,,1,1,1
crab,food,,1,1,1,1,,,1,1,1
crab,snow,,1,1,1,1,,,1,1,1
crab,salad,,1,1,1,1,,,1,1,1
crab,fish,,1,1,1,1,,,1,1,1
crab,claw,,1,1,1,1,,,1,1,1
crab,beach,,1,1,1,1,,,1,1,1
crab,trap,,1,1,1,1,,,1,1,1
crab,animal,,1,1,1,1,,,1,1,1
crab,hermit,,1,1,1,1,,,1,1,1
crab,crawl,,1,1,1,1,,,1,1,1
cramp,small,,2,2,1,1,,,0,,0
cramp,tight,,2,2,2,2,Could be muscle-related as well?,,1,1,1
cramp,pms,,1,1,1,1,,,1,1,1
cramp,ache,,1,1,1,1,,,1,1,1
cramp,swim,,1,1,1,1,,,1,1,1
cramp,hurt,,1,1,1,1,,,1,1,1
cramp,monthly,,1,1,1,1,,,1,1,1
cramp,stomach,,1,1,1,1,,,1,1,1
cramp,muscle,,1,1,1,1,,,1,1,1
cramp,leg,,1,1,1,1,,,1,1,1
cramp,period,,1,1,1,1,,,1,1,1
cramp,pain,,1,1,1,1,,,1,1,1
cramp,menstrual,,1,1,1,1,,,1,1,1
cramp,exercise,,1,1,1,1,,,1,1,1
crash,collision,,1,1,1,1,,,1,1,1
crash,scary,,1,1,1,1,,,1,1,1
crash,plane,,1,1,1,1,,,1,1,1
crash,accident,,1,1,1,1,,,1,1,1
crash,market,,1,1,1,1,,,1,1,1
crash,fall,,1,1,1,1,,,1,1,1
crash,wreck,,1,1,1,1,,,1,1,1
crash,burn,,1,1,1,1,,,1,1,1
crash,bang,,1,1,1,1,,,1,1,1
crash,noise,,1,1,1,1,,,1,1,1
crash,boom,,1,1,1,1,,,1,1,1
crash,hit,,1,1,1,1,,,1,1,1
crash,car,,1,1,1,1,,,1,1,1
crash,landing,,1,1,1,1,,,1,1,1
crash,auto,,1,1,1,1,,,1,1,1
crash,die,,1,1,1,1,,,1,1,1
cricket,sport,,2,2,2,2,,,1,1,1
cricket,game,,2,2,2,2,,,1,1,1
cricket,insect,,1,1,1,1,,,1,1,1
cricket,noisy,,1,1,1,1,,,1,1,1
cricket,pie,,1,1,1,1,,,1,1,1
cricket,noise,,1,1,1,1,,,1,1,1
cricket,sound,,1,1,1,1,,,1,1,1
cricket,bug,,1,1,1,1,,,1,1,1
cricket,green,,1,1,1,1,,,1,1,1
cricket,animal,,1,1,1,1,,,1,1,1
cricket,chirp,,1,1,1,1,,,1,1,1
cricket,night,,1,1,1,1,,,1,1,1
cricket,annoying,,1,1,1,1,,,1,1,1
cricket,grasshopper,,1,1,1,1,,,1,1,1
cube,ball,,?1,1,1,1,Or misreading as 'cue'?,,0,,1
cube,block,,1,1,1,1,,,1,1,1
cube,rubix,,1,1,1,1,,,1,1,1
cube,triangle,,1,1,1,1,,,1,1,1
cube,cylinder,,1,1,1,1,,,1,1,1
cube,geometry,,1,1,1,1,,,1,1,1
cube,dice,,1,1,1,1,,,1,1,1
cube,ice,,1,1,1,1,,,1,1,1
cube,box,,1,1,1,1,,,1,1,1
cube,square,,1,1,1,1,,,1,1,1
cube,sphere,,1,1,1,1,,,1,1,1
cue,tip,,?1,1,1,1,Referring to 'q-tips'?,,0,,1
cue,stick,,2,2,2,2,,,1,1,1
cue,pool,,2,2,2,2,,,1,1,1
cue,ball,,2,2,2,2,,,1,1,1
cue,billiards,,2,2,2,2,,,1,1,1
cue,signal,,1,1,1,1,,,1,1,1
