SortedOrder,probe,associate,associate (continued),R1,R1,R2,R3,Screened_for_Analysis_seeTab2,Meaning_R1,Meaning_BestGuess_R1,R2,Meaning_R2,Meaning_BestGuess_R2,R3,Meaning_R3,Meaning_BestGuess_R3,Comment_R1,Comment_R2,Comment_R3,Integrated_Comments_By_CR,R1_R2_R3_CertainAgreement,R1_R2_R3_Certain_orUndertainAgreement,DominantMeaning_Certain_or_Guess,
1433,flight,fancy,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1434,flight,fight,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,1,1,,,,,0,0,2,
1435,flight,fly,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1436,flight,stair,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1437,flight,travel,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1438,flight,trip,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1439,flip,acrobatics,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1440,flip,bird,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1441,flip,coin,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1442,flip,dolphin,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1443,flip,flap,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1444,flip,flop,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1445,flip,gymnastics,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1446,flip,hair,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1447,flip,hamburgers,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1448,flip,jump,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1449,flip,out,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1450,flip,over,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1451,flip,pancakes,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1452,flip,reverse,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1453,flip,side,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1454,flip,somersault,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1455,flip,through,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1456,flip,top,,kt,kt,lew,aml,1,?1,1,lew,1,1,aml,1,1,,,,,0,1,1,
1457,flip,toss,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1458,flip,turn,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1459,cue,baby,,lew,kt,aml,RS,,-,-,kt,-,-,aml,-,-,Incorrect reading of probe,,,Incorrect reading of probe,1,1,-,
1460,flush,blush,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1461,flush,cards,,kt,kt,lew,aml,1,4,4,lew,4,4,aml,4,4,,,,,1,1,4,
1462,flush,clean,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1463,flush,cleanse,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1464,flush,commode,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1465,flush,down,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1466,flush,drain,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1467,flush,embarrass,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1468,flush,fever,,kt,kt,lew,aml,1,2,2,lew,1,1,aml,1,1,,,,,0,0,1,
1469,flush,hot,,kt,kt,lew,aml,1,2,2,lew,1,1,aml,1,1,,,,,0,0,1,
1470,flush,poker,,kt,kt,lew,aml,1,4,4,lew,4,4,aml,4,4,,,,,1,1,4,
1471,flush,red,,kt,kt,lew,aml,1,2,2,lew,1,1,aml,1,1,,,,,0,0,1,
1472,flush,rinse,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1473,flush,soft,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1474,flush,toilet,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1475,flush,water,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
1476,fly,airplane,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1477,fly,annoying,,kt,kt,lew,aml,1,1,1,lew,2,2,sr,2,2,,,,,0,0,2,
1478,fly,away,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1479,fly,bird,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1480,fly,bug,,kt,kt,lew,aml,1,2,2,lew,2,2,sr,2,2,,,,,1,1,2,
1481,fly,dirty,,kt,kt,lew,aml,1,1,1,lew,2,2,sr,2,2,,,,,0,0,2,
1482,fly,insect,,kt,kt,lew,aml,1,2,2,lew,2,2,sr,2,2,,,,,1,1,2,
1483,fly,mosquito,,kt,kt,lew,aml,1,2,2,lew,2,2,sr,2,2,,,,,1,1,2,
1484,fly,paper,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1485,fly,pest,,kt,kt,lew,aml,1,2,2,lew,2,2,sr,2,2,,,,,1,1,2,
1486,fly,picnic,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,2,2,,,,,0,0,1,
1487,fly,roach,,kt,kt,lew,aml,1,2,2,lew,2,2,sr,2,2,,,,,1,1,2,
1488,fly,small,,kt,kt,lew,aml,1,2,2,lew,2,2,sr,2,2,,,,,1,1,2,
1489,fly,soar,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1490,fly,soup,,kt,kt,lew,aml,1,?2,2,lew,2,2,sr,2,2,,,,,0,1,2,
1491,fly,swatter,,kt,kt,lew,aml,1,2,2,lew,2,2,sr,2,2,,,,,1,1,2,
1492,fly,swim,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1493,fly,wall,,kt,kt,lew,aml,1,2,2,lew,2,2,sr,2,2,,,,,1,1,2,
1494,fell,well,,kt,lew,kt,aml,,-,-,lew,-,-,aml,-,-,Association not clear,,,Rhyme,1,1,-,
1495,foil,again,,kt,kt,lew,aml,1,2,2,lew,1,1,sr,1,1,,,,,0,0,1,
1496,foil,aluminum,,kt,kt,lew,aml,1,2,2,lew,2,2,sr,2,2,,,,,1,1,2,
1497,foil,coil,,kt,kt,lew,aml,1,2,2,lew,2,2,sr,3,3,,,,,0,0,2,
1498,foil,cover,,kt,kt,lew,aml,1,2,2,lew,2,2,sr,2,2,,,,,1,1,2,
1499,foil,food,,kt,kt,lew,aml,1,2,2,lew,2,2,sr,2,2,,,,,1,1,2,
1500,foil,metal,,kt,kt,lew,aml,1,2,2,lew,2,2,sr,2,2,,,,,1,1,2,
1501,foil,paper,,kt,kt,lew,aml,1,2,2,lew,2,2,sr,2,2,,,,,1,1,2,
1502,foil,potato,,kt,kt,lew,aml,1,2,2,lew,2,2,sr,2,2,,,,,1,1,2,
1503,foil,reynolds,,kt,kt,lew,aml,,-,-,lew,-,-,sr,-,-,"Proper noun, remove",,,Proper noun,1,1,-,
1504,foil,silver,,kt,kt,lew,aml,1,2,2,lew,2,2,sr,2,2,,,,,1,1,2,
1505,foil,tin,,kt,kt,lew,aml,1,2,2,lew,2,2,sr,2,2,,,,,1,1,2,
1506,foil,wrap,,kt,kt,lew,aml,1,2,2,lew,2,2,sr,2,2,,,,,1,1,2,
1507,fold,bend,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1508,fold,close,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1509,fold,clothes,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1510,fold,crease,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1511,fold,crumple,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1512,fold,cut,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1513,fold,dotted,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1514,fold,envelope,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1515,fold,folder,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1516,fold,half,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1517,fold,laundry,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1518,fold,letter,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1519,fold,note,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1520,fold,open,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1521,fold,paper,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1522,fold,rip,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1523,fold,tear,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1524,fold,towels,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1525,fold,unfold,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1526,frail,breakable,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1527,frail,brittle,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1528,frail,delicate,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1529,frail,fragile,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1530,frail,gentle,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1531,frail,grandma,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1532,frail,little,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1533,frail,old,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1534,frail,skinny,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1535,frail,small,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1536,frail,strong,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1537,frail,sturdy,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1538,frail,thin,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1539,frail,tiny,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1540,frail,weak,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1541,freak,accident,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1542,freak,crazy,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1543,freak,fear,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1544,freak,funny,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1545,freak,idiot,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1546,freak,monster,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1547,freak,nature,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1548,freak,nerd,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1549,freak,nut,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1550,freak,odd,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1551,freak,out,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1552,freak,outcast,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1553,freak,panic,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1554,freak,scary,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1555,freak,show,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1556,freak,strange,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1557,freak,weird,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1558,frog,amphibian,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1559,frog,animal,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1560,frog,fly,,kt,kt,lew,aml,1,?1,1,lew,1,1,sr,1,1,,,,,0,1,1,
1561,frog,green,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1562,frog,gross,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1563,frog,hop,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1564,frog,jump,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1565,frog,leap,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1566,frog,legs,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1567,frog,lily,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1568,frog,lizard,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1569,frog,pond,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1570,flip,wilson,,kt,kt,lew,aml,,-,-,lew,-,-,aml,-,-,"Proper noun, remove",,,Proper noun,1,1,-,
1571,frog,prince,,kt,kt,lew,aml,,-,-,lew,-,-,sr,-,-,"Proper noun, remove",,,Proper noun,1,1,-,
1572,frog,slimy,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1573,frog,tadpole,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1574,frog,toad,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1575,frog,ugly,,kt,kt,lew,aml,1,?1,1,lew,1,1,sr,1,1,"Proper noun, remove",,,,0,1,1,
1576,frog,wart,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1577,frog,water,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1578,fry,bacon,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1579,fry,bake,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1580,fry,boil,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1581,fry,broil,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1582,fry,burn,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1583,fry,chicken,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1584,fry,cook,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1585,fry,egg,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1586,fry,fat,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1587,frog,rabbit,,kt,kt,lew,aml,1,-,-,lew,1,1,sr,1,1,Association not clear,,,Association not clear,0,0,1,
1588,fry,food,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1589,fry,fries,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1590,fry,grease,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1591,fry,heat,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1592,fry,meat,,kt,kt,lew,aml,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1593,fry,pan,,kt,kt,lew,sr,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1594,fry,potato,,kt,kt,lew,sr,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1595,fry,stir,,kt,kt,lew,sr,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1596,fudge,brown,,kt,kt,lew,sr,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1597,fudge,brownie,,kt,kt,lew,sr,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1598,fudge,calories,,kt,kt,lew,sr,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1599,fudge,candy,,kt,kt,lew,sr,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1600,fudge,chocolate,,kt,kt,lew,sr,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1601,fudge,fat,,kt,kt,lew,sr,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1602,fudge,good,,kt,kt,lew,sr,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1603,fudge,ice,cream,kt,kt,lew,sr,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1604,fudge,rich,,kt,kt,lew,sr,1,?1,1,lew,1,1,sr,1,1,,,,,0,1,1,
1605,fudge,sick,,kt,kt,lew,sr,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1606,fudge,sweet,,kt,kt,lew,sr,1,1,1,lew,1,1,sr,1,1,,,,,1,1,1,
1607,gag,barf,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1608,gag,choke,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1609,gag,funny,,kt,kt,lew,sr,1,2,2,aml,2,2,sr,2,2,,,,,1,1,2,
1610,gag,gift,,kt,kt,lew,sr,1,2,2,aml,?2,2,sr,2,2,,,,,0,1,2,
1611,gag,gross,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1612,gag,joke,,kt,kt,lew,sr,1,2,2,aml,2,2,sr,2,2,,,,,1,1,2,
1613,gag,kill,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1614,gag,laugh,,kt,kt,lew,sr,1,2,2,aml,2,2,sr,2,2,,,,,1,1,2,
1615,gag,mouth,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1616,gag,prank,,kt,kt,lew,sr,1,2,2,aml,2,2,sr,2,2,,,,,1,1,2,
1617,gag,puke,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1618,gag,silence,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1619,gag,spoon,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,-,-,,,,,0,0,1,
1620,gag,stop,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1621,gag,throw,up,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1622,gag,tie,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1623,gag,vomit,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1624,gang,bang,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1625,gang,chain,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1626,gang,fight,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1627,gang,friend,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1628,gang,group,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1629,gang,gun,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1630,gang,guys,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1631,gang,knife,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1632,gang,los,angeles,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1633,gang,member,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1634,gang,mob,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1635,gang,people,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1636,gang,rape,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1637,gang,street,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1638,gang,stupid,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1639,gang,trouble,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1640,gang,violent,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1641,gang,war,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1642,gin,alcohol,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1643,gin,ale,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1644,gin,drink,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1645,gin,drunk,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1646,gin,liquor,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1647,gin,rum,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1648,gin,rummy,,kt,kt,lew,sr,1,3,3,aml,3,3,sr,1,1,,,,,0,0,3,
1649,gin,tonic,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1650,gin,vodka,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,3,3,,,,,0,0,1,
1651,gin,whiskey,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1652,gin,wine,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1653,glare,anger,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1654,glare,blind,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1655,glare,bright,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1656,glare,eyes,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1657,glare,glass,,kt,kt,lew,sr,1,2,2,aml,2,2,sr,2,2,,,,,1,1,2,
1658,glare,hate,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1659,glare,light,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1660,glare,look,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1661,glare,mean,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1662,glare,reflect,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1663,glare,shine,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1664,glare,squint,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1665,glare,stare,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1666,glare,sun,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1667,glare,sunshine,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1668,glare,window,,kt,kt,lew,sr,1,2,2,aml,1,1,sr,1,1,,,,,0,0,1,
1669,grate,annoy,,kt,kt,lew,sr,1,2,2,aml,2,2,sr,2,2,,,,,1,1,2,
1670,grate,carrots,,kt,kt,lew,sr,1,2,2,aml,2,2,sr,2,2,,,,,1,1,2,
1671,grate,cheese,,kt,kt,lew,sr,1,2,2,aml,2,2,sr,2,2,,,,,1,1,2,
1672,grate,chop,,kt,kt,lew,sr,1,2,2,aml,2,2,sr,2,2,,,,,1,1,2,
1673,grate,crate,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1674,grate,cut,,kt,kt,lew,sr,1,2,2,aml,2,2,sr,2,2,,,,,1,1,2,
1675,grate,food,,kt,kt,lew,sr,1,2,2,aml,2,2,sr,2,2,,,,,1,1,2,
1676,grate,full,,kt,kt,lew,sr,1,?2,2,aml,2,2,sr,1,1,,,,,0,0,2,
1677,grate,grind,,kt,kt,lew,sr,1,2,2,aml,2,2,sr,2,2,,,,,1,1,2,
1678,grate,metal,,kt,kt,lew,sr,1,2,2,aml,1,1,sr,2,2,,,,,0,0,2,
1679,grate,nerves,,kt,kt,lew,sr,1,2,2,aml,2,2,sr,2,2,,,,,1,1,2,
1680,grate,orange,,kt,kt,lew,sr,1,2,2,aml,2,2,sr,2,2,,,,,1,1,2,
1681,grate,road,,kt,kt,lew,sr,1,2,2,aml,1,1,sr,1,1,,,,,0,0,1,
1682,grate,rub,,kt,kt,lew,sr,1,2,2,aml,2,2,sr,2,2,,,,,1,1,2,
1683,grate,scrape,,kt,kt,lew,sr,1,2,2,aml,2,2,sr,2,2,,,,,1,1,2,
1684,grate,sewer,,kt,kt,lew,sr,1,?2,2,aml,1,1,sr,1,1,,,,,0,0,1,
1685,grate,shred,,kt,kt,lew,sr,1,2,2,aml,2,2,sr,2,2,,,,,1,1,2,
1686,grave,bad,,kt,kt,lew,sr,1,2,2,aml,2,2,sr,2,2,,,,,1,1,2,
1687,grave,casket,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
1688,grave,cemetery,,kt,kt,lew,sr,1,1,1,aml,1,1,sr,1,1,,,,,1,1,1,
